(:id 0
 :name 结云外套
 :rare 1
 :weapon both
 :gender both
 :def-min 1
 :def-max 21
 :holes 1
 :skills ((71 2) (94 2) (51 1) ))
(:id 1
 :name 皮革外衣
 :rare 1
 :weapon both
 :gender both
 :def-min 1
 :def-max 21
 :holes 0
 :skills ((93 3) (92 3) (94 2) ))
(:id 2
 :name 锁链外衣
 :rare 1
 :weapon both
 :gender both
 :def-min 2
 :def-max 22
 :holes 0
 :skills ((0 2) (96 3) (97 2) ))
(:id 3
 :name 猎人重甲
 :rare 1
 :weapon saber
 :gender both
 :def-min 6
 :def-max 24
 :holes 1
 :skills ((79 3) (76 2) (88 1) (9 -1) ))
(:id 4
 :name 猎人链甲
 :rare 1
 :weapon archer
 :gender both
 :def-min 3
 :def-max 16
 :holes 1
 :skills ((79 2) (76 2) (88 1) (9 -2) ))
(:id 5
 :name 洛克拉克外套
 :rare 1
 :weapon both
 :gender both
 :def-min 4
 :def-max 24
 :holes 1
 :skills ((80 2) (90 5) ))
(:id 6
 :name 骨制重甲
 :rare 1
 :weapon saber
 :gender both
 :def-min 8
 :def-max 27
 :holes 1
 :skills ((63 1) (92 0) (59 3) (11 -1) ))
(:id 7
 :name 骨制链甲
 :rare 1
 :weapon archer
 :gender both
 :def-min 4
 :def-max 17
 :holes 1
 :skills ((63 2) (92 2) (59 1) (11 -2) ))
(:id 8
 :name 合金重甲
 :rare 1
 :weapon saber
 :gender both
 :def-min 8
 :def-max 27
 :holes 1
 :skills ((15 1) (51 2) (10 2) (92 -3) ))
(:id 9
 :name 合金链甲
 :rare 1
 :weapon archer
 :gender both
 :def-min 4
 :def-max 17
 :holes 1
 :skills ((34 2) (29 2) (37 1) (92 -2) ))
(:id 10
 :name 飞虫外套
 :rare 2
 :weapon saber
 :gender both
 :def-min 10
 :def-max 29
 :holes 1
 :skills ((52 3) (50 1) (73 1) (1 -3) ))
(:id 11
 :name 飞虫外衣
 :rare 2
 :weapon archer
 :gender both
 :def-min 5
 :def-max 18
 :holes 1
 :skills ((52 3) (50 1) (73 1) (1 -2) ))
(:id 12
 :name 草食龙重甲
 :rare 2
 :weapon saber
 :gender both
 :def-min 10
 :def-max 29
 :holes 1
 :skills ((85 2) (64 1) (13 2) (6 -2) ))
(:id 13
 :name 草食龙链甲
 :rare 2
 :weapon archer
 :gender both
 :def-min 5
 :def-max 18
 :holes 1
 :skills ((85 2) (64 1) (31 2) (6 -2) ))
(:id 14
 :name 狗龙重甲
 :rare 2
 :weapon saber
 :gender both
 :def-min 12
 :def-max 31
 :holes 1
 :skills ((1 2) (77 2) (84 1) (87 -2) ))
(:id 15
 :name 狗龙链甲
 :rare 2
 :weapon archer
 :gender both
 :def-min 6
 :def-max 19
 :holes 1
 :skills ((1 2) (77 2) (84 1) (87 -2) ))
(:id 16
 :name 青熊重甲
 :rare 2
 :weapon saber
 :gender both
 :def-min 12
 :def-max 31
 :holes 1
 :skills ((91 2) (2 2) (12 1) (10 -2) ))
(:id 17
 :name 青熊链甲
 :rare 2
 :weapon archer
 :gender both
 :def-min 6
 :def-max 19
 :holes 1
 :skills ((91 2) (2 2) (12 1) (10 -2) ))
(:id 18
 :name 钢铁重甲
 :rare 2
 :weapon saber
 :gender both
 :def-min 14
 :def-max 33
 :holes 1
 :skills ((2 4) (27 2) (16 1) ))
(:id 19
 :name 毒狗龙重甲
 :rare 2
 :weapon saber
 :gender both
 :def-min 14
 :def-max 33
 :holes 1
 :skills ((72 1) (77 1) (12 -2) (52 3) ))
(:id 20
 :name 毒狗龙链甲
 :rare 2
 :weapon archer
 :gender both
 :def-min 7
 :def-max 20
 :holes 1
