(:id 0
 :name 结云袴
 :rare 1
 :weapon both
 :gender both
 :def-min 1
 :def-max 21
 :holes 0
 :skills ((71 2) (94 2) (51 2) ))
(:id 1
 :name 皮革具足
 :rare 1
 :weapon both
 :gender both
 :def-min 1
 :def-max 21
 :holes 1
 :skills ((93 2) (92 1) (94 4) ))
(:id 2
 :name 锁链具足
 :rare 1
 :weapon both
 :gender both
 :def-min 2
 :def-max 22
 :holes 1
 :skills ((0 2) (96 2) (97 3) ))
(:id 3
 :name 猎人重靴
 :rare 1
 :weapon saber
 :gender both
 :def-min 6
 :def-max 24
 :holes 1
 :skills ((79 2) (76 3) (88 2) (9 -2) ))
(:id 4
 :name 猎人轻靴
 :rare 1
 :weapon archer
 :gender both
 :def-min 3
 :def-max 16
 :holes 1
 :skills ((79 1) (76 3) (88 3) (9 -2) ))
(:id 5
 :name 洛克拉克皮靴
 :rare 1
 :weapon both
 :gender both
 :def-min 4
 :def-max 24
 :holes 1
 :skills ((80 6) (90 3) ))
(:id 6
 :name 骨制重靴
 :rare 1
 :weapon saber
 :gender both
 :def-min 8
 :def-max 27
 :holes 1
 :skills ((63 4) (92 3) (59 1) (11 -1) ))
(:id 7
 :name 骨制轻靴
 :rare 1
 :weapon archer
 :gender both
 :def-min 4
 :def-max 17
 :holes 1
 :skills ((63 1) (92 4) (59 1) (11 -3) ))
(:id 8
 :name 合金重靴
 :rare 1
 :weapon saber
 :gender both
 :def-min 8
 :def-max 27
 :holes 1
 :skills ((15 4) (51 2) (27 1) (92 -2) ))
(:id 9
 :name 合金轻靴
 :rare 1
 :weapon archer
 :gender both
 :def-min 4
 :def-max 17
 :holes 1
 :skills ((34 3) (29 1) (37 3) (92 -2) ))
(:id 10
 :name 飞虫之靴
 :rare 2
 :weapon saber
 :gender both
 :def-min 10
 :def-max 29
 :holes 1
 :skills ((52 3) (50 3) (73 1) (1 -2) ))
(:id 11
 :name 飞虫之鞋
 :rare 2
 :weapon archer
 :gender both
 :def-min 5
 :def-max 18
 :holes 1
 :skills ((52 2) (50 1) (73 3) (1 -3) ))
(:id 12
 :name 草食龙重靴
 :rare 2
 :weapon saber
 :gender both
 :def-min 10
 :def-max 29
 :holes 1
 :skills ((85 2) (64 4) (13 1) (6 -2) ))
(:id 13
 :name 草食龙轻靴
 :rare 2
 :weapon archer
 :gender both
 :def-min 5
 :def-max 18
 :holes 1
 :skills ((85 1) (64 2) (31 4) (6 -2) ))
(:id 14
 :name 狗龙重靴
 :rare 2
 :weapon saber
 :gender both
 :def-min 12
 :def-max 31
 :holes 1
 :skills ((1 2) (77 3) (84 2) (87 -2) ))
(:id 15
 :name 狗龙轻靴
 :rare 2
 :weapon archer
 :gender both
 :def-min 6
 :def-max 19
 :holes 1
 :skills ((1 2) (77 2) (84 3) (87 -2) ))
(:id 16
 :name 青熊重靴
 :rare 2
 :weapon saber
 :gender both
 :def-min 12
 :def-max 31
 :holes 0
 :skills ((98 0) ))
(:id 17
 :name 青熊轻靴
 :rare 2
 :weapon archer
 :gender both
 :def-min 6
 :def-max 19
 :holes 0
 :skills ((98 0) ))
(:id 18
 :name 毒狗龙重靴
 :rare 2
 :weapon saber
 :gender both
 :def-min 14
 :def-max 33
 :holes 1
 :skills ((9 4) (72 2) (77 1) (12 -2) ))
(:id 19
 :name 毒狗龙轻靴
 :rare 2
 :weapon archer
 :gender both
 :def-min 7
 :def-max 20
 :holes 1
 :skills ((9 4) (72 2) (77 1) (12 -2) ))
(:id 20
 :name 白兔重靴
 :rare 2
 :weapon saber
 :gender both
 :def-min 14
 :def-max 33
 :holes 1
 :skills ((82 1) (48 2) (50 4) (81 -2) ))
(:id 21
 :name 白兔轻靴
 :rare 2
 :weapon archer
 :gender both
 :def-min 7
 :def-max 20
 :holes 1
 :skills ((82 2) (48 1) (50 4) (81 -2) ))
(:id 22
 :name 彩鸟重靴
 :rare 2
 :weapon saber
 :gender both
 :def-min 12
 :def-max 31
 :holes 1
 :skills ((86 1) (83 2) (63 5) (89 -1) ))
(:id 23
 :name 彩鸟轻靴
 :rare 2
 :weapon archer
 :gender both
 :def-min 6
 :def-max 19
 :holes 1
 :skills ((86 1) (83 1) (63 5) (89 -2) ))
(:id 24
 :name 水兽重靴
 :rare 2
 :weapon saber
 :gender both
 :def-min 14
 :def-max 33
 :holes 1
 :skills ((90 3) (47 1) (66 4) (5 -1) ))
(:id 25
 :name 水兽轻靴
 :rare 2
 :weapon archer
 :gender both
 :def-min 7
 :def-max 20
 :holes 1
 :skills ((90 4) (47 2) (66 1) (5 -2) ))
(:id 26
 :name 土砂龙重靴
 :rare 2
 :weapon saber
 :gender both
 :def-min 16
 :def-max 35
 :holes 2
 :skills ((25 1) (1 2) (59 2) (72 -2) ))
(:id 27
 :name 土砂龙轻靴
 :rare 2
 :weapon archer
 :gender both
 :def-min 8
 :def-max 21
 :holes 2
 :skills ((32 1) (1 2) (31 2) (72 -2) ))
(:id 28
 :name 高合金重靴
 :rare 2
 :weapon saber
 :gender both
 :def-min 20
 :def-max 39
 :holes 2
 :skills ((27 3) (15 1) (67 1) (94 -2) ))
(:id 29
 :name 高合金轻靴
 :rare 2
 :weapon archer
 :gender both
 :def-min 10
 :def-max 23
 :holes 2
 :skills ((29 3) (34 1) (67 1) (94 -2) ))
(:id 30
 :name 眠狗龙重靴
 :rare 2
 :weapon saber
 :gender both
 :def-min 16
 :def-max 35
 :holes 1
 :skills ((84 4) (1 3) (68 1) (3 -1) ))
(:id 31
 :name 眠狗龙轻靴
 :rare 2
 :weapon archer
 :gender both
 :def-min 8
 :def-max 21
 :holes 1
 :skills ((84 3) (1 3) (68 1) (3 -2) ))
(:id 32
 :name 赤甲兽重靴
 :rare 2
 :weapon saber
 :gender both
 :def-min 16
 :def-max 35
 :holes 0
 :skills ((98 0) ))
(:id 33
 :name 赤甲兽轻靴
 :rare 2
 :weapon archer
 :gender both
 :def-min 8
 :def-max 21
 :holes 0
 :skills ((98 0) ))
(:id 34
 :name 雌火龙重靴
 :rare 2
 :weapon saber
 :gender both
 :def-min 18
 :def-max 37
 :holes 2
 :skills ((0 3) (71 2) (65 1) (84 -1) ))
(:id 35
 :name 雌火龙轻靴
 :rare 2
 :weapon archer
 :gender both
 :def-min 9
 :def-max 22
 :holes 2
 :skills ((0 1) (71 3) (65 1) (84 -2) ))
(:id 36
 :name 潜口龙重靴
 :rare 2
 :weapon saber
 :gender both
 :def-min 18
 :def-max 37
 :holes 0
 :skills ((91 2) (89 4) (66 2) (90 -3) ))
(:id 37
 :name 潜口龙轻靴
 :rare 2
 :weapon archer
 :gender both
 :def-min 9
 :def-max 22
 :holes 0
 :skills ((91 3) (89 2) (66 3) (90 -3) ))
(:id 38
 :name 毒怪龙重靴
 :rare 2
 :weapon saber
 :gender both
 :def-min 18
 :def-max 37
 :holes 1
 :skills ((12 3) (52 2) (5 2) (0 -1) ))
(:id 39
 :name 毒怪龙轻靴
 :rare 2
 :weapon archer
 :gender both
 :def-min 9
 :def-max 22
 :holes 1
 :skills ((12 2) (52 2) (5 3) (0 -2) ))
(:id 40
 :name 迅龙重靴
 :rare 3
 :weapon saber
 :gender both
 :def-min 20
 :def-max 39
 :holes 1
 :skills ((73 2) (49 4) (85 1) (1 -2) ))
(:id 41
 :name 迅龙轻靴
 :rare 3
 :weapon archer
 :gender both
 :def-min 10
 :def-max 23
 :holes 1
 :skills ((73 2) (49 4) (85 1) (1 -2) ))
(:id 42
 :name 冰牙龙重靴
 :rare 3
 :weapon saber
 :gender both
 :def-min 20
 :def-max 39
 :holes 2
 :skills ((47 2) (72 2) (68 1) (85 -2) ))
(:id 43
 :name 冰牙龙轻靴
 :rare 3
 :weapon archer
 :gender both
 :def-min 10
 :def-max 23
 :holes 2
 :skills ((47 1) (72 2) (68 1) (85 -3) ))
(:id 44
 :name 雄火龙重靴
 :rare 3
 :weapon saber
 :gender both
 :def-min 22
 :def-max 41
 :holes 1
 :skills ((1 1) (65 5) (53 2) (83 -1) ))
(:id 45
