(:id 0
 :name 结云斗笠
 :rare 1
 :weapon both
 :gender both
 :def-min 1
 :def-max 21
 :holes 0
 :skills ((71 2) (94 2) (51 2) ))
(:id 1
 :name 皮革头盔
 :rare 1
 :weapon both
 :gender both
 :def-min 1
 :def-max 21
 :holes 1
 :skills ((93 2) (92 2) (94 3) ))
(:id 2
 :name 锁链头盔
 :rare 1
 :weapon both
 :gender both
 :def-min 2
 :def-max 22
 :holes 1
 :skills ((0 2) (96 4) (97 1) ))
(:id 3
 :name 猎人头盔
 :rare 1
 :weapon saber
 :gender both
 :def-min 6
 :def-max 25
 :holes 1
 :skills ((79 2) (76 2) (88 3) (9 -2) ))
(:id 4
 :name 猎人战帽
 :rare 1
 :weapon archer
 :gender both
 :def-min 3
 :def-max 16
 :holes 1
 :skills ((79 4) (76 4) (88 2) (9 -1) ))
(:id 5
 :name 骨制头盔
 :rare 1
 :weapon saber
 :gender both
 :def-min 8
 :def-max 27
 :holes 1
 :skills ((63 1) (92 3) (59 2) (11 -3) ))
(:id 6
 :name 骨制战帽
 :rare 1
 :weapon archer
 :gender both
 :def-min 4
 :def-max 17
 :holes 1
 :skills ((63 3) (92 3) (59 4) (11 -1) ))
(:id 7
 :name 合金头盔
 :rare 1
 :weapon saber
 :gender both
 :def-min 8
 :def-max 27
 :holes 1
 :skills ((15 2) (51 1) (27 3) (92 -3) ))
(:id 8
 :name 合金战帽
 :rare 1
 :weapon archer
 :gender both
 :def-min 4
 :def-max 17
 :holes 1
 :skills ((34 3) (29 3) (37 3) (92 -2) ))
(:id 9
 :name 飞虫礼帽
 :rare 2
 :weapon saber
 :gender both
 :def-min 10
 :def-max 29
 :holes 1
 :skills ((52 1) (50 1) (73 4) (1 -3) ))
(:id 10
 :name 飞虫头饰
 :rare 2
 :weapon both
 :gender both
 :def-min 5
 :def-max 18
 :holes 1
 :skills ((52 3) (50 3) (73 4) (1 -1) ))
(:id 11
 :name 草食龙头盔
 :rare 2
 :weapon both
 :gender both
 :def-min 10
 :def-max 29
 :holes 1
 :skills ((85 2) (64 1) (13 3) (6 -3) ))
(:id 12
 :name 草食龙战帽
 :rare 2
 :weapon both
 :gender both
 :def-min 5
 :def-max 18
 :holes 1
 :skills ((85 4) (64 2) (31 4) (6 -1) ))
(:id 13
 :name 狗龙头盔
 :rare 2
 :weapon both
 :gender both
 :def-min 12
 :def-max 31
 :holes 1
 :skills ((1 2) (77 2) (84 2) (87 -3) ))
(:id 14
 :name 狗龙战帽
 :rare 2
 :weapon both
 :gender both
 :def-min 6
 :def-max 19
 :holes 1
 :skills ((1 3) (77 3) (84 4) (87 -1) ))
(:id 15
 :name 青熊头盔
 :rare 2
 :weapon both
 :gender both
 :def-min 12
 :def-max 31
 :holes 1
 :skills ((91 1) (2 2) (12 3) (10 -3) ))
(:id 16
 :name 青熊战帽
 :rare 2
 :weapon both
 :gender both
 :def-min 6
 :def-max 19
 :holes 1
 :skills ((91 3) (2 3) (12 3) (10 -2) ))
(:id 17
 :name 毒狗龙头盔
 :rare 2
 :weapon both
 :gender both
 :def-min 14
 :def-max 33
 :holes 1
 :skills ((72 2) (77 2) (9 2) (12 -3) ))
(:id 18
 :name 毒狗龙战帽
 :rare 2
 :weapon both
 :gender both
 :def-min 7
 :def-max 20
 :holes 1
 :skills ((72 4) (77 4) (9 2) (12 -1) ))
(:id 19
 :name 白兔头盔
 :rare 2
 :weapon both
 :gender both
 :def-min 14
 :def-max 33
 :holes 1
 :skills ((48 2) (6 4) (82 2) (81 -3) ))
(:id 20
 :name 白兔战帽
 :rare 2
 :weapon both
 :gender both
 :def-min 7
 :def-max 20
 :holes 1
 :skills ((48 4) (6 4) (82 4) (81 -1) ))
(:id 21
 :name 彩鸟头盔
 :rare 2
 :weapon both
 :gender both
 :def-min 12
 :def-max 31
 :holes 1
 :skills ((86 1) (83 3) (89 -3) (63 2) ))
(:id 22
 :name 彩鸟战帽
 :rare 2
 :weapon both
 :gender both
 :def-min 6
 :def-max 19
 :holes 1
 :skills ((86 4) (83 4) (89 -1) (63 2) ))
(:id 23
 :name 水兽头盔
 :rare 2
 :weapon both
 :gender both
 :def-min 14
 :def-max 33
 :holes 1
 :skills ((47 2) (90 3) (66 1) (5 -3) ))
(:id 24
 :name 水兽战帽
 :rare 2
 :weapon both
 :gender both
 :def-min 7
 :def-max 20
 :holes 1
 :skills ((47 4) (90 3) (66 3) (5 -1) ))
(:id 25
 :name 土砂龙头盔
 :rare 2
 :weapon both
 :gender both
 :def-min 16
 :def-max 35
 :holes 1
 :skills ((25 3) (59 2) (2 1) (72 -3) ))
(:id 26
 :name 土砂龙战帽
 :rare 2
 :weapon both
 :gender both
 :def-min 8
 :def-max 21
 :holes 1
 :skills ((32 3) (31 3) (2 3) (72 -2) ))
(:id 27
 :name 高合金头盔
 :rare 2
 :weapon both
 :gender both
 :def-min 20
 :def-max 39
 :holes 1
 :skills ((15 2) (67 2) (27 2) (94 -3) ))
(:id 28
 :name 高合金战帽
 :rare 2
 :weapon both
 :gender both
 :def-min 10
 :def-max 23
 :holes 1
 :skills ())
(:id 29
 :name 眠狗龙头盔
 :rare 2
 :weapon both
 :gender both
 :def-min 16
 :def-max 35
 :holes 1
 :skills ((1 1) (68 2) (84 3) (3 -3) ))
(:id 30
 :name 眠狗龙战帽
 :rare 2
 :weapon both
 :gender both
 :def-min 8
 :def-max 21
 :holes 1
 :skills ((1 4) (68 2) (84 4) (3 -1) ))
(:id 31
 :name 赤甲兽头盔
 :rare 2
 :weapon both
 :gender both
 :def-min 16
 :def-max 35
 :holes 1
 :skills ((48 3) (3 1) (81 2) (82 -3) ))
(:id 32
 :name 赤甲兽战帽
 :rare 2
 :weapon both
 :gender both
 :def-min 8
 :def-max 21
 :holes 1
 :skills ((48 5) (3 2) (81 3) (82 -1) ))
(:id 33
 :name 雌火龙头盔
 :rare 2
 :weapon both
 :gender both
 :def-min 18
 :def-max 37
 :holes 1
 :skills ((0 4) (71 1) (65 1) (84 -3) ))
(:id 34
 :name 雌火龙战帽
 :rare 2
 :weapon both
 :gender both
 :def-min 9
 :def-max 22
 :holes 1
 :skills ((0 5) (71 3) (65 2) (84 -1) ))
(:id 35
 :name 潜口龙头盔
 :rare 2
 :weapon both
 :gender both
 :def-min 18
 :def-max 37
 :holes 1
