(:id 0
 :name 结云腰带
 :rare 1
 :weapon both
 :gender both
 :def-min 1
 :def-max 21
 :holes 1
 :skills ((51 1) (71 2) (94 2) ))
(:id 1
 :name 皮革腰带
 :rare 1
 :weapon both
 :gender both
 :def-min 1
 :def-max 21
 :holes 0
 :skills ((92 4) (93 2) (94 3) ))
(:id 2
 :name 锁链腰带
 :rare 1
 :weapon both
 :gender both
 :def-min 2
 :def-max 22
 :holes 1
 :skills ((0 1) (96 3) (97 3) ))
(:id 3
 :name 猎人腿甲
 :rare 1
 :weapon saber
 :gender both
 :def-min 6
 :def-max 24
 :holes 1
 :skills ((76 4) (88 2) (79 1) (9 -2) ))
(:id 4
 :name 猎人裙甲
 :rare 1
 :weapon archer
 :gender both
 :def-min 3
 :def-max 16
 :holes 1
 :skills ((76 2) (88 3) (79 2) (9 -2) ))
(:id 5
 :name 洛克拉克腿甲
 :rare 1
 :weapon both
 :gender both
 :def-min 4
 :def-max 24
 :holes 1
 :skills ((10 5) (80 4) ))
(:id 6
 :name 骨制腿甲
 :rare 1
 :weapon saber
 :gender both
 :def-min 8
 :def-max 27
 :holes 1
 :skills ((92 1) (63 3) (59 3) (11 -2) ))
(:id 7
 :name 骨制裙甲
 :rare 1
 :weapon archer
 :gender both
 :def-min 4
 :def-max 17
 :holes 1
 :skills ((92 4) (63 1) (59 3) (11 -1) ))
(:id 8
 :name 合金腿甲
 :rare 1
 :weapon saber
 :gender both
 :def-min 8
 :def-max 27
 :holes 2
 :skills ((51 3) (27 1) (15 2) (92 -1) ))
(:id 9
 :name 合金裙甲
 :rare 1
 :weapon archer
 :gender both
 :def-min 4
 :def-max 17
 :holes 2
 :skills ((29 1) (34 1) (37 2) (92 -3) ))
(:id 10
 :name 飞虫腿甲
 :rare 2
 :weapon saber
 :gender both
 :def-min 10
 :def-max 29
 :holes 1
 :skills ((73 3) (52 3) (50 1) (1 -2) ))
(:id 11
 :name 飞虫裙甲
 :rare 2
 :weapon archer
 :gender both
 :def-min 5
 :def-max 18
 :holes 1
 :skills ((73 2) (52 2) (50 3) (1 -2) ))
(:id 12
 :name 草食龙腿甲
 :rare 2
 :weapon saber
 :gender both
 :def-min 10
 :def-max 29
 :holes 1
 :skills ((13 2) (64 3) (85 3) (6 -1) ))
(:id 13
 :name 草食龙裙甲
 :rare 2
 :weapon archer
 :gender both
 :def-min 5
 :def-max 18
 :holes 1
 :skills ((31 1) (64 4) (85 2) (6 -2) ))
(:id 14
 :name 狗龙腿甲
 :rare 2
 :weapon saber
 :gender both
 :def-min 12
 :def-max 31
 :holes 1
 :skills ((84 4) (1 3) (77 1) (87 -1) ))
(:id 15
 :name 狗龙裙甲
 :rare 2
 :weapon archer
 :gender both
 :def-min 6
 :def-max 19
 :holes 1
 :skills ((84 2) (1 2) (77 3) (87 -2) ))
(:id 16
 :name 青熊腿甲
 :rare 2
 :weapon saber
 :gender both
 :def-min 12
 :def-max 31
 :holes 1
 :skills ((12 3) (91 3) (2 2) (10 -1) ))
(:id 17
 :name 青熊裙甲
 :rare 2
 :weapon archer
 :gender both
 :def-min 6
 :def-max 19
 :holes 1
 :skills ((12 3) (91 2) (2 1) (10 -3) ))
(:id 18
 :name 钢铁腿甲
 :rare 2
 :weapon saber
 :gender both
 :def-min 14
 :def-max 33
 :holes 0
 :skills ((27 4) (2 2) (16 5) ))
(:id 19
 :name 毒狗龙腿甲
 :rare 2
 :weapon saber
 :gender both
 :def-min 14
 :def-max 33
 :holes 1
 :skills ((52 2) (72 3) (77 3) (12 -1) ))
(:id 20
 :name 毒狗龙裙甲
 :rare 2
 :weapon archer
 :gender both
 :def-min 7
 :def-max 20
 :holes 1
 :skills ((52 2) (72 1) (77 3) (12 -3) ))
(:id 21
 :name 白兔腿甲
 :rare 2
 :weapon saber
 :gender both
 :def-min 14
 :def-max 33
 :holes 1
 :skills ((6 3) (82 2) (48 3) (81 -1) ))
(:id 22
 :name 白兔裙甲
 :rare 2
 :weapon archer
 :gender both
 :def-min 7
 :def-max 20
 :holes 1
 :skills ((6 4) (82 2) (48 1) (81 -2) ))
(:id 23
 :name 彩鸟腿甲
 :rare 2
 :weapon saber
 :gender both
 :def-min 12
 :def-max 31
 :holes 1
 :skills ((86 3) (83 1) (63 3) (10 -2) ))
(:id 24
 :name 彩鸟裙甲
 :rare 2
 :weapon archer
 :gender both
 :def-min 6
 :def-max 19
 :holes 1
 :skills ((86 1) (83 2) (63 3) (10 -3) ))
(:id 25
 :name 水兽腿甲
 :rare 2
 :weapon saber
 :gender both
 :def-min 14
 :def-max 33
 :holes 1
 :skills ((10 2) (47 3) (66 3) (5 -1) ))
(:id 26
 :name 水兽裙甲
 :rare 2
 :weapon archer
 :gender both
 :def-min 7
 :def-max 20
 :holes 1
 :skills ((10 2) (47 1) (66 4) (5 -2) ))
(:id 27
 :name 土砂龙腿甲
 :rare 2
 :weapon saber
 :gender both
 :def-min 16
 :def-max 35
 :holes 1
